year,market_cap
1960,0.542
1961,0.562
1962,0.604
1963,0.637
1964,0.684
1965,0.742
1966,0.813
1967,0.860
1968,0.940
1969,1.017
1970,1.073
1971,1.165
1972,1.279
1973,1.425
1974,1.545
1975,1.685
1976,1.873
1977,2.082
1978,2.352
1979,2.627
1980,2.857
1981,3.207
1982,3.344
1983,3.634
1984,4.038
1985,4.339
1986,4.580
1987,4.855
1988,5.236
1989,5.642
1990,5.963
1991,6.158
1992,6.520
1993,6.859
1994,7.287
1995,7.640
1996,8.073
1997,8.578
1998,9.063
1999,9.631
2000,10.251
2001,10.582
2002,10.929
2003,11.456
2004,12.217
2005,13.039
2006,13.816
2007,14.474
2008,14.770
2009,14.478
2010,15.049
2011,15.600
2012,16.254
2013,16.881
2014,17.608
2015,18.295
2016,18.805
2017,19.612
2018,20.657
2019,21.521
2020,21.323
2021,23.594
2022,25.744
2023,27.361
2024,29.168
