year,market_cap
1900,19.42
1901,22.37
1902,20.41
1903,15.40
1904,18.07
1905,19.45
1906,18.14
1907,10.6
1908,14.44
1909,14.74
1910,14.16
1911,13.73
1912,13.75
1913,11.07
1914,10.52
1915,12.86
1916,12.05
1917,6.75
1918,6.33
1919,6.47
1920,4.78
1921,5.84
1922,8.00
1923,7.55
1924,8.89
1925,10.89
1926,12.62
1927,18.13
1928,25.12
1929,21.17
1930,16.94
1931,11.42
1932,8.46
1933,12.01
1934,11.45
1935,16.13
1936,21.50
1937,13.16
1938,16.15
1939,16.60
1940,14.64
1941,10.91
1942,9.66
1943,10.63
1944,11.48
1945,14.85
1946,11.11
1947,10.98
1948,10.25
1949,10.22
1950,11.54
1951,11.85
1952,12.47
1953,11.64
1954,15.12
1955,18.84
1956,17.12
1957,13.74
1958,16.99
1959,18.07
1960,17.15
1961,21.86
1962,17.85
1963,20.72
1964,23.23
1965,23.93
1966,19.71
1967,21.26
1968,22.2
1969,18.44
1970,14.95
1971,15.64
1972,18.34
1973,14.65
1974,8.95
1975,10.44
1976,11.25
1977,9.77
1978,8.93
1979,8.52
1980,9.65
1981,7.81
1982,8.35
1983,9.85
1984,9.69
1985,11.16
1986,13.87
1987,13.59
1988,14.45
1989,17.24
1990,15.19
1991,18.29
1992,19.83
1993,21.04
1994,20.21
1995,24.35
1996,27.58
1997,32.33
1998,37.37
1999,44.19
2000,38.78
2001,30.01
2002,23.35
2003,25.95
2004,26.47
2005,25.93
2006,26.93
2007,25.73
2008,15.26
2009,19.81
2010,21.7
2011,20.35
2012,20.90
2013,24.64
2014,26.61
2015,26.23
2016,26.85
2017,31.30
2018,30.20
2019,29.84
2020,32.47
2021,38.58
2022,28.38
2023,30.01
2024,37.45
