year,market_cap
1975,0.7038
1976,0.8831
1977,0.83424
1978,0.86196
1979,0.99359
1980,1.36
1981,1.26
1982,1.46
1983,1.81
1984,1.6
1985,2.3
1986,2.54
1987,2.53
1988,2.78
1989,3.38
1990,3.09
1991,4.16
1992,4.55
1993,5.25
1994,5.14
1995,6.95
1996,8.48
1997,10.77
1998,12.92
1999,14.78
2000,15.11
2001,13.98
2002,11.05
2003,14.27
2004,16.32
2005,17
2006,19.57
2007,19.92
2008,11.59
2009,15.08
2010,17.28
2011,15.64
2012,18.67
2013,24.03
2014,26.33
2015,25.07
2016,27.35
2017,32.12
2018,30.44
2019,34.09
2020,41.57
2021,48.55
2022,40.3
2023,50.78
2024,62.2
